"District Name","School Name",Content,Grade,"Participation Rate","Percent Did Not Yet Meet Expectations",2022,2019,"Change 2019 to 2022"
"Plateau Valley 50","All Schools",Mathematics,04,100.0,"*","*",27.8,"*"
"Plateau Valley 50","All Schools",Mathematics,05,100.0,29.2,"*","*","*"
"Plateau Valley 50","All Schools",Mathematics,06,95.2,15.0,35.0,"*","*"
"Plateau Valley 50","All Schools",Mathematics,07,100.0,"*",35.3,20.8,"  14.5"
"Plateau Valley 50","All Schools",Mathematics,08,100.0,"*",21.1,31.8," -10.7"
"Mesa County Valley 51","All Schools","English Language Arts","All Grades",93.2,15.3,39.3,36.0,"   3.3"
"Mesa County Valley 51","All Schools","English Language Arts",03,95.8,22.2,37.4,32.9,"   4.5"
"Mesa County Valley 51","All Schools","English Language Arts",04,95.5,14.8,43.2,42.0,"   1.2"
"Mesa County Valley 51","All Schools","English Language Arts",05,96.3,7.8,44.3,41.1,"   3.2"
"Mesa County Valley 51","All Schools","English Language Arts",06,93.8,12.2,39.2,32.8,"   6.4"
"Mesa County Valley 51","All Schools","English Language Arts",07,90.3,17.0,31.2,32.7,"  -1.5"
"Mesa County Valley 51","All Schools","English Language Arts",08,88.4,18.0,40.0,34.6,"   5.4"
"Mesa County Valley 51","All Schools",Mathematics,"All Grades",92.9,17.4,27.9,24.4,"   3.5"
"Mesa County Valley 51","All Schools",Mathematics,03,95.8,19.4,36.2,31.8,"   4.4"
"Mesa County Valley 51","All Schools",Mathematics,04,95.3,19.4,26.9,22.9,"   4.0"
"Mesa County Valley 51","All Schools",Mathematics,05,96.0,15.6,32.8,23.5,"   9.3"
"Mesa County Valley 51","All Schools",Mathematics,06,92.9,16.5,22.6,21.5,"   1.1"
"Mesa County Valley 51","All Schools",Mathematics,07,89.6,12.4,18.5,21.1,"  -2.6"
"Mesa County Valley 51","All Schools",Mathematics,08,88.3,20.6,29.6,25.6,"   4.0"
"Creede School District","All Schools","English Language Arts","All Grades",97.5,7.7,51.3,36.4,"  14.9"
"Creede School District","All Schools","English Language Arts",03,100.0,"*","*","*","*"
"Creede School District","All Schools","English Language Arts",04,88.9,"*","*","*","*"
"Creede School District","All Schools","English Language Arts",05,100.0,"*","*","*","*"
"Creede School District","All Schools","English Language Arts",06,100.0,"*","*","*","*"
"Creede School District","All Schools","English Language Arts",07,100.0,"*","*","*","*"
"Creede School District","All Schools","English Language Arts",08,100.0,"*","*","*","*"
"Creede School District","All Schools",Mathematics,"All Grades",97.5,10.3,17.9,18.2,"  -0.3"
"Creede School District","All Schools",Mathematics,03,100.0,"*","*","*","*"
"Creede School District","All Schools",Mathematics,04,88.9,"*","*","*","*"
"Creede School District","All Schools",Mathematics,05,100.0,"*","*","*","*"
"Creede School District","All Schools",Mathematics,06,100.0,"*","*","*","*"
"Creede School District","All Schools",Mathematics,07,100.0,"*","*","*","*"
"Creede School District","All Schools",Mathematics,08,100.0,"*","*","*","*"
"Moffat County RE: No 1","All Schools","English Language Arts","All Grades",92.3,20.8,31.5,37.8,"  -6.3"
"Moffat County RE: No 1","All Schools","English Language Arts",03,99.4,25.0,36.9,35.8,"   1.1"
"Moffat County RE: No 1","All Schools","English Language Arts",04,98.3,23.5,37.8,50.7," -12.9"
"Moffat County RE: No 1","All Schools","English Language Arts",05,98.0,10.1,39.2,42.8,"  -3.6"
"Moffat County RE: No 1","All Schools","English Language Arts",06,93.9,13.7,20.1,35.6," -15.5"
"Moffat County RE: No 1","All Schools","English Language Arts",07,93.6,25.2,28.2,32.5,"  -4.3"
"Moffat County RE: No 1","All Schools","English Language Arts",08,70.1,30.7,23.8,26.3,"  -2.5"
"Moffat County RE: No 1","All Schools",Mathematics,"All Grades",92.5,23.6,18.9,19.9,"  -1.0"
"Moffat County RE: No 1","All Schools",Mathematics,03,99.4,21.3,29.0,20.4,"   8.6"
"Moffat County RE: No 1","All Schools",Mathematics,04,98.4,32.0,14.8,29.2," -14.4"
"Moffat County RE: No 1","All Schools",Mathematics,05,98.0,21.6,23.6,21.2,"   2.4"
"Moffat County RE: No 1","All Schools",Mathematics,06,94.6,24.3,10.0,15.8,"  -5.8"
"Moffat County RE: No 1","All Schools",Mathematics,07,92.9,11.5,16.2,15.0,"   1.2"
"Moffat County RE: No 1","All Schools",Mathematics,08,70.8,34.3,15.7,17.2,"  -1.5"
"Montezuma-Cortez RE-1","All Schools","English Language Arts","All Grades",90.9,26.6,25.5,31.5,"  -6.0"
"Montezuma-Cortez RE-1","All Schools","English Language Arts",03,90.3,39.2,29.0,25.1,"   3.9"
"Montezuma-Cortez RE-1","All Schools","English Language Arts",04,94.0,23.8,27.0,36.5,"  -9.5"
"Montezuma-Cortez RE-1","All Schools","English Language Arts",05,94.3,19.2,28.8,32.4,"  -3.6"
"Montezuma-Cortez RE-1","All Schools","English Language Arts",06,94.2,14.9,18.6,28.6," -10.0"
"Montezuma-Cortez RE-1","All Schools","English Language Arts",07,87.7,29.2,26.4,26.2,"   0.2"
"Montezuma-Cortez RE-1","All Schools","English Language Arts",08,83.8,37.2,22.8,42.7," -19.9"
"Montezuma-Cortez RE-1","All Schools",Mathematics,"All Grades",90.8,34.1,13.9,17.3,"  -3.4"
"Montezuma-Cortez RE-1","All Schools",Mathematics,03,91.3,33.7,25.3,28.4,"  -3.1"
"Montezuma-Cortez RE-1","All Schools",Mathematics,04,93.0,27.4,13.4,12.6,"   0.8"
"Montezuma-Cortez RE-1","All Schools",Mathematics,05,92.9,39.0,11.8,20.9,"  -9.1"
"Montezuma-Cortez RE-1","All Schools",Mathematics,06,94.6,35.6,8.8,10.3,"  -1.5"
"Montezuma-Cortez RE-1","All Schools",Mathematics,07,87.7,24.2,10.1,9.9,"   0.2"
"Montezuma-Cortez RE-1","All Schools",Mathematics,08,84.4,46.6,15.1,22.0,"  -6.9"
"Dolores RE-4A","All Schools","English Language Arts","All Grades",89.4,10.9,38.9,38.4,"   0.5"
"Dolores RE-4A","All Schools","English Language Arts",03,89.1,16.3,44.9,43.3,"   1.6"
"Dolores RE-4A","All Schools","English Language Arts",04,76.9,15.0,37.5,56.7," -19.2"
"Dolores RE-4A","All Schools","English Language Arts",05,90.2,6.5,21.7,37.1," -15.4"
"Dolores RE-4A","All Schools","English Language Arts",06,96.0,5.6,48.6,28.3,"  20.3"
"Dolores RE-4A","All Schools","English Language Arts",07,93.8,8.3,46.7,35.5,"  11.2"
"Dolores RE-4A","All Schools","English Language Arts",08,87.3,16.1,29.0,28.3,"   0.7"
"Dolores RE-4A","All Schools",Mathematics,"All Grades",89.4,14.9,24.9,27.1,"  -2.2"
"Dolores RE-4A","All Schools",Mathematics,03,89.1,16.3,38.8,57.6," -18.8"
"Dolores RE-4A","All Schools",Mathematics,04,76.9,12.5,22.5,37.3," -14.8"
"Dolores RE-4A","All Schools",Mathematics,05,90.2,8.7,28.3,22.6,"   5.7"
"Dolores RE-4A","All Schools",Mathematics,06,96.0,13.9,31.9,19.2,"  12.7"
"Dolores RE-4A","All Schools",Mathematics,07,93.8,11.7,8.3,11.3,"  -3.0"
"Dolores RE-4A","All Schools",Mathematics,08,87.3,24.2,21.0,15.0,"   6.0"
"Mancos Re-6","All Schools","English Language Arts","All Grades",2.2,"*","*","*","*"
"Mancos Re-6","All Schools","English Language Arts",03,0.0,"*","*","*","*"
"Mancos Re-6","All Schools","English Language Arts",04,10.0,"*","*","*","*"
"Mancos Re-6","All Schools","English Language Arts",05,0.0,"*","*","*","*"
"Mancos Re-6","All Schools","English Language Arts",06,2.4,"*","*","*","*"
"Mancos Re-6","All Schools","English Language Arts",07,0.0,"*","*","*","*"
"Mancos Re-6","All Schools","English Language Arts",08,0.0,"*","*","*","*"
"Mancos Re-6","All Schools",Mathematics,"All Grades",2.2,"*","*","*","*"
"Mancos Re-6","All Schools",Mathematics,03,0.0,"*","*","*","*"
"Mancos Re-6","All Schools",Mathematics,04,10.0,"*","*","*","*"
"Mancos Re-6","All Schools",Mathematics,05,0.0,"*","*","*","*"
"Mancos Re-6","All Schools",Mathematics,06,2.4,"*","*","*","*"
"Mancos Re-6","All Schools",Mathematics,07,0.0,"*","*","*","*"
"Mancos Re-6","All Schools",Mathematics,08,0.0,"*","*","*","*"
"Montrose County RE-1J","All Schools","English Language Arts","All Grades",96.3,16.8,39.2,41.8,"  -2.6"
"Montrose County RE-1J","All Schools","English Language Arts",03,98.0,30.9,30.4,27.0,"   3.4"
"Montrose County RE-1J","All Schools","English Language Arts",04,97.8,19.5,35.8,34.9,"   0.9"
"Montrose County RE-1J","All Schools","English Language Arts",05,98.2,10.6,36.0,40.6,"  -4.6"
"Montrose County RE-1J","All Schools","English Language Arts",06,96.2,13.1,40.1,45.1,"  -5.0"
"Montrose County RE-1J","All Schools","English Language Arts",07,95.3,12.8,43.1,48.9,"  -5.8"
"Montrose County RE-1J","All Schools","English Language Arts",08,92.8,15.6,48.3,52.6,"  -4.3"
"Montrose County RE-1J","All Schools",Mathematics,"All Grades",96.3,22.7,24.2,26.8,"  -2.6"
"Montrose County RE-1J","All Schools",Mathematics,03,98.0,23.1,28.3,31.7,"  -3.4"
"Montrose County RE-1J","All Schools",Mathematics,04,97.3,22.3,19.3,25.6,"  -6.3"
"Montrose County RE-1J","All Schools",Mathematics,05,98.7,24.9,20.6,27.6,"  -7.0"
"Montrose County RE-1J","All Schools",Mathematics,06,96.6,23.7,23.7,19.8,"   3.9"
"Montrose County RE-1J","All Schools",Mathematics,07,95.3,14.5,22.4,23.1,"  -0.7"
"Montrose County RE-1J","All Schools",Mathematics,08,92.4,27.3,30.6,33.8,"  -3.2"
"West End RE-2","All Schools","English Language Arts","All Grades",96.9,9.7,38.7,25.0,"  13.7"
"West End RE-2","All Schools","English Language Arts",03,100.0,"*","*",26.3,"*"
"West End RE-2","All Schools","English Language Arts",04,100.0,"*",45.5,"*","*"
"West End RE-2","All Schools","English Language Arts",05,94.1,"*",25.0,22.2,"   2.8"
"West End RE-2","All Schools","English Language Arts",06,90.0,"*","*","*","*"
"West End RE-2","All Schools","English Language Arts",07,100.0,"*","*",25.0,"*"
"West End RE-2","All Schools","English Language Arts",08,94.7,"*",22.2,14.3,"   7.9"
"West End RE-2","All Schools",Mathematics,"All Grades",96.8,20.7,19.6,21.6,"  -2.0"
"West End RE-2","All Schools",Mathematics,03,100.0,"*","*",26.3,"*"
"West End RE-2","All Schools",Mathematics,04,100.0,"*",45.5,"*","*"
"West End RE-2","All Schools",Mathematics,05,94.1,50.0,"*",14.8,"*"
"West End RE-2","All Schools",Mathematics,06,90.0,"*","*","*","*"
"West End RE-2","All Schools",Mathematics,07,100.0,"*","*",20.0,"*"
"West End RE-2","All Schools",Mathematics,08,94.7,38.9,"*",23.8,"*"
"Brush RE-2(J)","All Schools","English Language Arts","All Grades",0.0,"*","*",26.1,"*"
"Brush RE-2(J)","All Schools","English Language Arts",03,0.0,"*","*",19.3,"*"
"Brush RE-2(J)","All Schools","English Language Arts",04,0.0,"*","*",30.1,"*"
"Brush RE-2(J)","All Schools","English Language Arts",05,0.0,"*","*",27.1,"*"
"Brush RE-2(J)","All Schools","English Language Arts",06,0.0,"*","*",24.3,"*"
"Brush RE-2(J)","All Schools","English Language Arts",07,0.0,"*","*",27.6,"*"
"Brush RE-2(J)","All Schools","English Language Arts",08,0.0,"*","*",29.4,"*"
"Brush RE-2(J)","All Schools",Mathematics,"All Grades",0.0,"*","*",17.3,"*"
"Brush RE-2(J)","All Schools",Mathematics,03,0.0,"*","*",14.2,"*"
"Brush RE-2(J)","All Schools",Mathematics,04,0.0,"*","*",21.4,"*"
"Brush RE-2(J)","All Schools",Mathematics,05,0.0,"*","*",16.7,"*"
"Brush RE-2(J)","All Schools",Mathematics,06,0.0,"*","*",14.4,"*"
"Brush RE-2(J)","All Schools",Mathematics,07,0.0,"*","*",15.3,"*"
"Brush RE-2(J)","All Schools",Mathematics,08,0.0,"*","*",22.0,"*"
"Fort Morgan Re-3","All Schools","English Language Arts","All Grades",99.3,19.8,25.9,31.7,"  -5.8"
"Fort Morgan Re-3","All Schools","English Language Arts",03,100.0,30.2,21.7,27.1,"  -5.4"
"Fort Morgan Re-3","All Schools","English Language Arts",04,99.2,25.2,22.4,29.4,"  -7.0"
"Fort Morgan Re-3","All Schools","English Language Arts",05,99.6,17.9,18.3,30.7," -12.4"
"Fort Morgan Re-3","All Schools","English Language Arts",06,99.6,10.5,30.5,30.4,"   0.1"
"Fort Morgan Re-3","All Schools","English Language Arts",07,98.0,19.7,29.3,27.0,"   2.3"
"Fort Morgan Re-3","All Schools","English Language Arts",08,99.5,16.7,34.7,46.1," -11.4"
"Fort Morgan Re-3","All Schools",Mathematics,"All Grades",99.2,22.7,15.5,22.8,"  -7.3"
"Fort Morgan Re-3","All Schools",Mathematics,03,100.0,21.5,26.2,30.2,"  -4.0"
"Fort Morgan Re-3","All Schools",Mathematics,04,98.8,23.3,12.7,16.3,"  -3.6"
"Fort Morgan Re-3","All Schools",Mathematics,05,99.6,24.0,12.5,22.1,"  -9.6"
"Fort Morgan Re-3","All Schools",Mathematics,06,99.6,25.9,12.6,16.1,"  -3.5"
"Fort Morgan Re-3","All Schools",Mathematics,07,98.0,13.0,9.2,18.5,"  -9.3"
"Fort Morgan Re-3","All Schools",Mathematics,08,99.1,29.0,22.4,34.1," -11.7"
"Weldon Valley RE-20(J)","All Schools","English Language Arts","All Grades",97.9,7.5,43.0,33.7,"   9.3"
"Weldon Valley RE-20(J)","All Schools","English Language Arts",03,100.0,"*","*","*","*"
"Weldon Valley RE-20(J)","All Schools","English Language Arts",04,100.0,"*","*","*","*"
"Weldon Valley RE-20(J)","All Schools","English Language Arts",05,95.5,"*",42.9,37.5,"   5.4"
"Weldon Valley RE-20(J)","All Schools","English Language Arts",06,100.0,"*","*",50.0,"*"
"Weldon Valley RE-20(J)","All Schools","English Language Arts",07,100.0,"*",50.0,"*","*"
"Weldon Valley RE-20(J)","All Schools","English Language Arts",08,94.4,"*",35.3,"*","*"
"Weldon Valley RE-20(J)","All Schools",Mathematics,"All Grades",98.9,7.4,27.7,10.8,"  16.9"
"Weldon Valley RE-20(J)","All Schools",Mathematics,03,100.0,"*","*","*","*"
"Weldon Valley RE-20(J)","All Schools",Mathematics,04,100.0,"*","*","*","*"
"Weldon Valley RE-20(J)","All Schools",Mathematics,05,100.0,13.6,22.7,"*","*"
"Weldon Valley RE-20(J)","All Schools",Mathematics,06,100.0,"*","*","*","*"
"Weldon Valley RE-20(J)","All Schools",Mathematics,07,100.0,"*",31.3,"*","*"
"Weldon Valley RE-20(J)","All Schools",Mathematics,08,94.4,"*",23.5,"*","*"
"Wiggins RE-50(J)","All Schools","English Language Arts","All Grades",95.4,13.6,37.8,36.7,"   1.1"
"Wiggins RE-50(J)","All Schools","English Language Arts",03,96.6,14.0,49.1,42.6,"   6.5"
"Wiggins RE-50(J)","All Schools","English Language Arts",04,97.7,16.7,35.7,40.0,"  -4.3"
"Wiggins RE-50(J)","All Schools","English Language Arts",05,90.9,8.3,35.0,39.1,"  -4.1"
"Wiggins RE-50(J)","All Schools","English Language Arts",06,96.7,10.3,32.8,22.4,"  10.4"
"Wiggins RE-50(J)","All Schools","English Language Arts",07,98.3,15.8,33.3,45.3," -12.0"
"Wiggins RE-50(J)","All Schools","English Language Arts",08,93.4,17.5,40.4,30.0,"  10.4"
"Wiggins RE-50(J)","All Schools",Mathematics,"All Grades",95.1,19.1,24.8,24.3,"   0.5"
"Wiggins RE-50(J)","All Schools",Mathematics,03,96.6,12.3,45.6,38.3,"   7.3"
"Wiggins RE-50(J)","All Schools",Mathematics,04,97.7,14.3,21.4,12.0,"   9.4"
"Wiggins RE-50(J)","All Schools",Mathematics,05,92.4,13.1,27.9,26.6,"   1.3"
"Wiggins RE-50(J)","All Schools",Mathematics,06,95.0,29.8,8.8,14.3,"  -5.5"
"Wiggins RE-50(J)","All Schools",Mathematics,07,98.3,14.0,15.8,35.8," -20.0"
"Wiggins RE-50(J)","All Schools",Mathematics,08,91.8,30.4,28.6,18.0,"  10.6"
"East Otero R-1","All Schools","English Language Arts","All Grades",72.8,30.2,17.3,19.7,"  -2.4"
"East Otero R-1","All Schools","English Language Arts",03,88.7,33.0,23.4,19.4,"   4.0"
"East Otero R-1","All Schools","English Language Arts",04,85.7,20.0,25.6,16.8,"   8.8"
"East Otero R-1","All Schools","English Language Arts",05,83.5,22.0,14.3,19.2,"  -4.9"
"East Otero R-1","All Schools","English Language Arts",06,72.4,27.6,13.2,10.3,"   2.9"
"East Otero R-1","All Schools","English Language Arts",07,68.0,48.5,7.4,20.2," -12.8"
"East Otero R-1","All Schools","English Language Arts",08,43.7,36.4,16.4,30.6," -14.2"
"East Otero R-1","All Schools",Mathematics,"All Grades",71.9,40.4,5.6,8.3,"  -2.7"
"East Otero R-1","All Schools",Mathematics,03,89.6,31.6,18.9,21.5,"  -2.6"
"East Otero R-1","All Schools",Mathematics,04,83.8,29.5,"*",3.0,"*"
"East Otero R-1","All Schools",Mathematics,05,81.7,52.8,"*",3.3,"*"
"East Otero R-1","All Schools",Mathematics,06,70.5,50.0,4.1,2.8,"   1.3"
"East Otero R-1","All Schools",Mathematics,07,64.0,18.8,"*",8.4,"*"
"East Otero R-1","All Schools",Mathematics,08,46.0,63.8,"*",10.9,"*"
"Rocky Ford R-2","All Schools","English Language Arts","All Grades",97.3,16.0,37.5,37.9,"  -0.4"
"Rocky Ford R-2","All Schools","English Language Arts",03,93.3,"*",38.1,33.3,"   4.8"
"Rocky Ford R-2","All Schools","English Language Arts",04,100.0,6.7,40.0,41.2,"  -1.2"
"Rocky Ford R-2","All Schools","English Language Arts",05,96.1,18.4,28.6,38.6," -10.0"
"Rocky Ford R-2","All Schools","English Language Arts",06,100.0,"*",60.5,36.4,"  24.1"
"Rocky Ford R-2","All Schools","English Language Arts",07,96.5,18.2,29.1,23.8,"   5.3"
"Rocky Ford R-2","All Schools","English Language Arts",08,97.8,29.5,31.8,50.0," -18.2"
"Rocky Ford R-2","All Schools",Mathematics,"All Grades",98.7,16.5,27.3,24.6,"   2.7"
"Rocky Ford R-2","All Schools",Mathematics,03,97.8,22.7,29.5,37.9,"  -8.4"
"Rocky Ford R-2","All Schools",Mathematics,04,100.0,10.0,45.0,27.9,"  17.1"
"Rocky Ford R-2","All Schools",Mathematics,05,98.0,14.0,26.0,19.3,"   6.7"
"Rocky Ford R-2","All Schools",Mathematics,06,100.0,9.3,39.5,20.0,"  19.5"
"Rocky Ford R-2","All Schools",Mathematics,07,98.2,14.3,10.7,9.5,"   1.2"
"Rocky Ford R-2","All Schools",Mathematics,08,97.8,31.8,11.4,28.6," -17.2"
"Manzanola 3J","All Schools","English Language Arts","All Grades",98.7,20.8,19.5,31.4," -11.9"
"Manzanola 3J","All Schools","English Language Arts",03,100.0,"*","*","*","*"
"Manzanola 3J","All Schools","English Language Arts",04,100.0,"*","*","*","*"
"Manzanola 3J","All Schools","English Language Arts",05,100.0,"*","*","*","*"
"Manzanola 3J","All Schools","English Language Arts",06,100.0,"*",22.2,"*","*"
"Manzanola 3J","All Schools","English Language Arts",07,100.0,22.2,"*","*","*"
"Manzanola 3J","All Schools","English Language Arts",08,92.9,"*","*","*","*"
"Manzanola 3J","All Schools",Mathematics,"All Grades",94.9,35.1,5.4,24.3," -18.9"
"Manzanola 3J","All Schools",Mathematics,03,100.0,"*","*","*","*"
"Manzanola 3J","All Schools",Mathematics,04,100.0,"*","*","*","*"
"Manzanola 3J","All Schools",Mathematics,05,100.0,"*","*","*","*"
"Manzanola 3J","All Schools",Mathematics,06,88.9,31.3,"*","*","*"
"Manzanola 3J","All Schools",Mathematics,07,100.0,27.8,"*","*","*"
"Manzanola 3J","All Schools",Mathematics,08,85.7,"*","*","*","*"
"Fowler R-4J","All Schools","English Language Arts","All Grades",98.2,6.1,41.7,40.7,"   1.0"
"Fowler R-4J","All Schools","English Language Arts",03,95.7,"*",59.1,51.4,"   7.7"
"Fowler R-4J","All Schools","English Language Arts",04,100.0,"*",36.4,47.1," -10.7"
"Fowler R-4J","All Schools","English Language Arts",05,95.8,"*",39.1,30.8,"   8.3"
"Fowler R-4J","All Schools","English Language Arts",06,97.2,8.6,37.1,29.6,"   7.5"
"Fowler R-4J","All Schools","English Language Arts",07,100.0,10.3,41.4,27.6,"  13.8"
"Fowler R-4J","All Schools","English Language Arts",08,100.0,"*",42.9,53.8," -10.9"
"Fowler R-4J","All Schools",Mathematics,"All Grades",98.2,8.5,26.2,28.2,"  -2.0"
"Fowler R-4J","All Schools",Mathematics,03,95.8,"*",52.2,51.4,"   0.8"
"Fowler R-4J","All Schools",Mathematics,04,100.0,21.2,24.2,32.4,"  -8.2"
"Fowler R-4J","All Schools",Mathematics,05,95.8,"*",13.0,15.4,"  -2.4"
"Fowler R-4J","All Schools",Mathematics,06,97.2,"*",22.9,11.1,"  11.8"
"Fowler R-4J","All Schools",Mathematics,07,100.0,"*",24.1,20.7,"   3.4"
"Fowler R-4J","All Schools",Mathematics,08,100.0,"*",23.8,30.8,"  -7.0"
"Cheraw 31","All Schools","English Language Arts","All Grades",81.4,10.8,36.1,28.6,"   7.5"
"Cheraw 31","All Schools","English Language Arts",03,88.2,"*","*","*","*"
"Cheraw 31","All Schools","English Language Arts",04,94.1,"*",50.0,"*","*"
"Cheraw 31","All Schools","English Language Arts",05,65.0,"*","*","*","*"
"Cheraw 31","All Schools","English Language Arts",06,76.9,"*","*",27.8,"*"
"Cheraw 31","All Schools","English Language Arts",07,88.9,"*",56.3,"*","*"
"Cheraw 31","All Schools","English Language Arts",08,76.5,"*","*","*","*"
"Cheraw 31","All Schools",Mathematics,"All Grades",80.2,8.6,30.9,25.3,"   5.6"
"Cheraw 31","All Schools",Mathematics,03,88.2,"*","*","*","*"
"Cheraw 31","All Schools",Mathematics,04,94.1,"*",50.0,"*","*"
"Cheraw 31","All Schools",Mathematics,05,63.2,"*","*","*","*"
"Cheraw 31","All Schools",Mathematics,06,76.9,"*","*",16.7,"*"
"Cheraw 31","All Schools",Mathematics,07,88.9,"*","*","*","*"
"Cheraw 31","All Schools",Mathematics,08,70.6,"*","*",27.8,"*"
"Swink 33","All Schools","English Language Arts","All Grades",96.5,8.0,54.0,59.4,"  -5.4"
"Swink 33","All Schools","English Language Arts",03,100.0,12.0,60.0,63.0,"  -3.0"
"Swink 33","All Schools","English Language Arts",04,93.3,"*",64.3,76.9," -12.6"
"Swink 33","All Schools","English Language Arts",05,94.4,"*",58.8,76.5," -17.7"
"Swink 33","All Schools","English Language Arts",06,95.7,"*",31.8,59.3," -27.5"
"Swink 33","All Schools","English Language Arts",07,100.0,"*",56.0,40.6,"  15.4"
"Swink 33","All Schools","English Language Arts",08,95.2,20.0,50.0,50.0,"   0.0"
"Swink 33","All Schools",Mathematics,"All Grades",96.5,5.8,48.2,52.3,"  -4.1"
"Swink 33","All Schools",Mathematics,03,100.0,"*",60.0,48.1,"  11.9"
"Swink 33","All Schools",Mathematics,04,93.3,"*",57.1,76.9," -19.8"
"Swink 33","All Schools",Mathematics,05,94.4,"*",64.7,76.5," -11.8"
"Swink 33","All Schools",Mathematics,06,95.7,"*",31.8,59.3," -27.5"
"Swink 33","All Schools",Mathematics,07,100.0,"*",40.0,25.0,"  15.0"
"Swink 33","All Schools",Mathematics,08,95.2,15.0,35.0,42.3,"  -7.3"
"Ouray R-1","All Schools","English Language Arts","All Grades",98.8,8.8,61.3,66.2,"  -4.9"
"Ouray R-1","All Schools","English Language Arts",03,91.7,"*","*","*","*"
"Ouray R-1","All Schools","English Language Arts",04,100.0,"*","*","*","*"
"Ouray R-1","All Schools","English Language Arts",05,100.0,"*",66.7,68.8,"  -2.1"
"Ouray R-1","All Schools","English Language Arts",06,100.0,"*","*","*","*"
"Ouray R-1","All Schools","English Language Arts",07,100.0,"*","*","*","*"
"Ouray R-1","All Schools","English Language Arts",08,100.0,"*","*","*","*"
"Ouray R-1","All Schools",Mathematics,"All Grades",98.8,15.0,42.5,54.1," -11.6"
"Ouray R-1","All Schools",Mathematics,03,91.7,"*","*","*","*"
"Ouray R-1","All Schools",Mathematics,04,100.0,"*","*","*","*"
"Ouray R-1","All Schools",Mathematics,05,100.0,16.7,33.3,62.5," -29.2"
"Ouray R-1","All Schools",Mathematics,06,100.0,"*","*","*","*"
"Ouray R-1","All Schools",Mathematics,07,100.0,"*","*","*","*"
"Ouray R-1","All Schools",Mathematics,08,100.0,"*","*","*","*"
"Ridgway R-2","All Schools","English Language Arts","All Grades",94.4,3.7,66.4,57.1,"   9.3"
"Ridgway R-2","All Schools","English Language Arts",03,90.9,"*",65.0,78.9," -13.9"
"Ridgway R-2","All Schools","English Language Arts",04,93.3,"*",53.6,51.9,"   1.7"
"Ridgway R-2","All Schools","English Language Arts",05,94.4,"*",82.4,43.5,"  38.9"
"Ridgway R-2","All Schools","English Language Arts",06,92.3,"*",79.2,58.6,"  20.6"
"Ridgway R-2","All Schools","English Language Arts",07,96.0,"*",62.5,50.0,"  12.5"
"Ridgway R-2","All Schools","English Language Arts",08,100.0,"*",61.9,62.1,"  -0.2"
"Ridgway R-2","All Schools",Mathematics,"All Grades",94.4,8.2,47.8,49.3,"  -1.5"
"Ridgway R-2","All Schools",Mathematics,03,90.9,"*",80.0,94.7," -14.7"
"Ridgway R-2","All Schools",Mathematics,04,93.3,10.7,28.6,55.6," -27.0"
"Ridgway R-2","All Schools",Mathematics,05,94.4,"*",64.7,17.4,"  47.3"
"Ridgway R-2","All Schools",Mathematics,06,92.3,"*",62.5,31.0,"  31.5"
"Ridgway R-2","All Schools",Mathematics,07,96.0,16.7,37.5,47.4,"  -9.9"
"Ridgway R-2","All Schools",Mathematics,08,100.0,"*",23.8,58.6," -34.8"
"Platte Canyon 1","All Schools","English Language Arts","All Grades",95.8,7.4,52.2,53.7,"  -1.5"
"Platte Canyon 1","All Schools","English Language Arts",03,90.5,23.7,47.4,37.7,"   9.7"
"Platte Canyon 1","All Schools","English Language Arts",04,95.2,"*",60.0,48.4,"  11.6"
"Platte Canyon 1","All Schools","English Language Arts",05,96.7,"*",50.0,36.7,"  13.3"
"Platte Canyon 1","All Schools","English Language Arts",06,98.1,"*",64.7,55.2,"   9.5"
"Platte Canyon 1","All Schools","English Language Arts",07,98.4,4.8,50.8,71.2," -20.4"
"Platte Canyon 1","All Schools","English Language Arts",08,94.0,14.9,40.4,73.0," -32.6"
"Platte Canyon 1","All Schools",Mathematics,"All Grades",95.2,11.1,34.3,39.1,"  -4.8"
"Platte Canyon 1","All Schools",Mathematics,03,90.7,20.5,35.9,44.3,"  -8.4"
"Platte Canyon 1","All Schools",Mathematics,04,95.2,10.0,45.0,28.1,"  16.9"
"Platte Canyon 1","All Schools",Mathematics,05,95.0,8.8,28.1,18.0,"  10.1"
"Platte Canyon 1","All Schools",Mathematics,06,98.1,5.9,31.4,50.0," -18.6"
"Platte Canyon 1","All Schools",Mathematics,07,96.9,9.5,30.2,39.0,"  -8.8"
"Platte Canyon 1","All Schools",Mathematics,08,94.0,14.9,40.4,55.6," -15.2"
"Park County RE-2","All Schools","English Language Arts","All Grades",93.4,11.3,35.8,39.1,"  -3.3"
"Park County RE-2","All Schools","English Language Arts",03,93.6,9.1,25.0,47.7," -22.7"
"Park County RE-2","All Schools","English Language Arts",04,92.1,"*",45.7,45.5,"   0.2"
"Park County RE-2","All Schools","English Language Arts",05,93.3,9.5,31.0,45.0," -14.0"
"Park County RE-2","All Schools","English Language Arts",06,86.8,"*",45.5,33.3,"  12.2"
"Park County RE-2","All Schools","English Language Arts",07,93.9,15.2,26.1,35.6,"  -9.5"
"Park County RE-2","All Schools","English Language Arts",08,100.0,15.0,47.5,23.7,"  23.8"
"Park County RE-2","All Schools",Mathematics,"All Grades",93.8,16.1,12.4,24.6," -12.2"
