"District Name","School Name",Content,Grade,"Participation Rate","Percent Did Not Yet Meet Expectations",2022,2019,"Change 2019 to 2022"
"Douglas County Re 1","Clear Sky Elementary",Mathematics,05,90.7,3.4,40.9,38.5,"   2.4"
"Douglas County Re 1","Clear Sky Elementary",Mathematics,06,83.5,13.2,36.3,36.3,"   0.0"
"Douglas County Re 1","Gold Rush Elementary","English Language Arts","All Grades",96.6,4.1,64.4,66.1,"  -1.7"
"Douglas County Re 1","Gold Rush Elementary","English Language Arts",03,96.5,"*",64.2,63.8,"   0.4"
"Douglas County Re 1","Gold Rush Elementary","English Language Arts",04,96.7,3.4,64.4,67.8,"  -3.4"
"Douglas County Re 1","Gold Rush Elementary","English Language Arts",05,96.8,"*",64.4,67.0,"  -2.6"
"Douglas County Re 1","Gold Rush Elementary",Mathematics,"All Grades",96.6,1.6,63.4,64.4,"  -1.0"
"Douglas County Re 1","Gold Rush Elementary",Mathematics,03,96.5,"*",61.5,77.1," -15.6"
"Douglas County Re 1","Gold Rush Elementary",Mathematics,04,97.5,"*",66.4,48.3,"  18.1"
"Douglas County Re 1","Gold Rush Elementary",Mathematics,05,95.7,"*",61.8,65.0,"  -3.2"
"Douglas County Re 1","Mesa Middle School","English Language Arts","All Grades",76.1,10.9,51.9,56.6,"  -4.7"
"Douglas County Re 1","Mesa Middle School","English Language Arts",06,85.8,5.5,51.7,N/A,N/A
"Douglas County Re 1","Mesa Middle School","English Language Arts",07,84.2,11.5,51.8,58.2,"  -6.4"
"Douglas County Re 1","Mesa Middle School","English Language Arts",08,64.3,13.2,52.1,54.8,"  -2.7"
"Douglas County Re 1","Mesa Middle School",Mathematics,"All Grades",75.9,13.1,29.4,41.3," -11.9"
"Douglas County Re 1","Mesa Middle School",Mathematics,06,85.8,12.4,23.4,N/A,N/A
"Douglas County Re 1","Mesa Middle School",Mathematics,07,83.7,9.4,24.2,40.7," -16.5"
"Douglas County Re 1","Mesa Middle School",Mathematics,08,64.1,18.2,39.4,42.0,"  -2.6"
"Douglas County Re 1","Arrowwood Elementary School","English Language Arts","All Grades",92.3,3.7,65.4,51.4,"  14.0"
"Douglas County Re 1","Arrowwood Elementary School","English Language Arts",03,88.9,"*",47.9,51.1,"  -3.2"
"Douglas County Re 1","Arrowwood Elementary School","English Language Arts",04,94.2,6.1,63.3,52.3,"  11.0"
"Douglas County Re 1","Arrowwood Elementary School","English Language Arts",05,98.1,"*",70.6,48.8,"  21.8"
"Douglas County Re 1","Arrowwood Elementary School","English Language Arts",06,87.8,"*",81.4,53.2,"  28.2"
"Douglas County Re 1","Arrowwood Elementary School",Mathematics,"All Grades",92.8,4.7,54.7,40.2,"  14.5"
"Douglas County Re 1","Arrowwood Elementary School",Mathematics,03,88.9,8.3,64.6,62.2,"   2.4"
"Douglas County Re 1","Arrowwood Elementary School",Mathematics,04,94.2,"*",51.0,34.1,"  16.9"
"Douglas County Re 1","Arrowwood Elementary School",Mathematics,05,96.2,"*",52.0,37.2,"  14.8"
"Douglas County Re 1","Arrowwood Elementary School",Mathematics,06,91.8,"*",51.1,27.7,"  23.4"
"Douglas County Re 1","Bear Canyon Elementary School","English Language Arts","All Grades",93.4,"*",78.1,72.8,"   5.3"
"Douglas County Re 1","Bear Canyon Elementary School","English Language Arts",03,90.9,"*",64.0,65.5,"  -1.5"
"Douglas County Re 1","Bear Canyon Elementary School","English Language Arts",04,97.9,"*",76.1,67.6,"   8.5"
"Douglas County Re 1","Bear Canyon Elementary School","English Language Arts",05,93.4,"*",85.9,82.7,"   3.2"
"Douglas County Re 1","Bear Canyon Elementary School","English Language Arts",06,92.4,"*",82.0,73.4,"   8.6"
"Douglas County Re 1","Bear Canyon Elementary School",Mathematics,"All Grades",93.0,3.5,55.1,54.5,"   0.6"
"Douglas County Re 1","Bear Canyon Elementary School",Mathematics,03,90.9,"*",72.0,56.9,"  15.1"
"Douglas County Re 1","Bear Canyon Elementary School",Mathematics,04,97.9,"*",60.9,58.6,"   2.3"
"Douglas County Re 1","Bear Canyon Elementary School",Mathematics,05,93.4,"*",43.7,49.3,"  -5.6"
"Douglas County Re 1","Bear Canyon Elementary School",Mathematics,06,90.9,"*",50.0,53.8,"  -3.8"
"Douglas County Re 1","Buffalo Ridge Elementary School","English Language Arts","All Grades",97.3,2.8,72.8,69.5,"   3.3"
"Douglas County Re 1","Buffalo Ridge Elementary School","English Language Arts",03,96.9,"*",83.9,73.8,"  10.1"
"Douglas County Re 1","Buffalo Ridge Elementary School","English Language Arts",04,98.9,"*",69.2,71.4,"  -2.2"
"Douglas County Re 1","Buffalo Ridge Elementary School","English Language Arts",05,95.5,"*",67.2,64.3,"   2.9"
"Douglas County Re 1","Buffalo Ridge Elementary School",Mathematics,"All Grades",97.3,3.2,56.7,64.1,"  -7.4"
"Douglas County Re 1","Buffalo Ridge Elementary School",Mathematics,03,96.9,"*",72.6,71.3,"   1.3"
"Douglas County Re 1","Buffalo Ridge Elementary School",Mathematics,04,98.9,4.4,47.3,57.1,"  -9.8"
"Douglas County Re 1","Buffalo Ridge Elementary School",Mathematics,05,95.5,"*",54.7,61.9,"  -7.2"
"Douglas County Re 1","Castle Rock Elementary School","English Language Arts","All Grades",89.9,9.1,41.4,36.4,"   5.0"
"Douglas County Re 1","Castle Rock Elementary School","English Language Arts",03,93.9,17.4,34.8,21.1,"  13.7"
"Douglas County Re 1","Castle Rock Elementary School","English Language Arts",04,96.1,12.2,38.8,32.7,"   6.1"
"Douglas County Re 1","Castle Rock Elementary School","English Language Arts",05,94.4,"*",41.2,48.8,"  -7.6"
"Douglas County Re 1","Castle Rock Elementary School","English Language Arts",06,75.5,"*",52.5,47.1,"   5.4"
"Douglas County Re 1","Castle Rock Elementary School",Mathematics,"All Grades",93.3,12.9,33.0,29.2,"   3.8"
"Douglas County Re 1","Castle Rock Elementary School",Mathematics,03,95.9,8.5,42.6,31.0,"  11.6"
"Douglas County Re 1","Castle Rock Elementary School",Mathematics,04,94.2,20.4,28.6,29.1,"  -0.5"
"Douglas County Re 1","Castle Rock Elementary School",Mathematics,05,94.4,9.8,35.3,31.8,"   3.5"
"Douglas County Re 1","Castle Rock Elementary School",Mathematics,06,88.7,12.8,25.5,25.0,"   0.5"
"Douglas County Re 1","Challenge to Excellence Charter School","English Language Arts","All Grades",96.9,3.8,73.8,68.7,"   5.1"
"Douglas County Re 1","Challenge to Excellence Charter School","English Language Arts",03,100.0,6.8,69.9,57.9,"  12.0"
"Douglas County Re 1","Challenge to Excellence Charter School","English Language Arts",04,100.0,"*",64.6,77.6," -13.0"
"Douglas County Re 1","Challenge to Excellence Charter School","English Language Arts",05,97.9,"*",68.1,84.8," -16.7"
"Douglas County Re 1","Challenge to Excellence Charter School","English Language Arts",06,96.9,"*",65.1,58.7,"   6.4"
"Douglas County Re 1","Challenge to Excellence Charter School","English Language Arts",07,93.2,4.4,83.8,61.7,"  22.1"
"Douglas County Re 1","Challenge to Excellence Charter School","English Language Arts",08,93.8,"*",93.3,72.1,"  21.2"
"Douglas County Re 1","Challenge to Excellence Charter School",Mathematics,"All Grades",97.5,2.3,73.3,67.8,"   5.5"
"Douglas County Re 1","Challenge to Excellence Charter School",Mathematics,03,100.0,"*",79.5,66.7,"  12.8"
"Douglas County Re 1","Challenge to Excellence Charter School",Mathematics,04,100.0,"*",81.3,67.2,"  14.1"
"Douglas County Re 1","Challenge to Excellence Charter School",Mathematics,05,100.0,"*",72.3,80.4,"  -8.1"
"Douglas County Re 1","Challenge to Excellence Charter School",Mathematics,06,96.9,4.8,60.3,63.0,"  -2.7"
"Douglas County Re 1","Challenge to Excellence Charter School",Mathematics,07,94.5,"*",68.1,60.0,"   8.1"
"Douglas County Re 1","Challenge to Excellence Charter School",Mathematics,08,93.8,"*",82.2,72.7,"   9.5"
"Douglas County Re 1","Cherry Valley Elementary School","English Language Arts","All Grades",81.0,"*",64.7,80.0," -15.3"
"Douglas County Re 1","Cherry Valley Elementary School","English Language Arts",03,100.0,"*","*","*","*"
"Douglas County Re 1","Cherry Valley Elementary School","English Language Arts",04,83.3,"*","*","*","*"
"Douglas County Re 1","Cherry Valley Elementary School","English Language Arts",05,66.7,"*","*","*","*"
"Douglas County Re 1","Cherry Valley Elementary School","English Language Arts",06,80.0,"*","*","*","*"
"Douglas County Re 1","Cherry Valley Elementary School",Mathematics,"All Grades",81.0,"*",58.8,45.0,"  13.8"
"Douglas County Re 1","Cherry Valley Elementary School",Mathematics,03,100.0,"*","*","*","*"
"Douglas County Re 1","Cherry Valley Elementary School",Mathematics,04,83.3,"*","*","*","*"
"Douglas County Re 1","Cherry Valley Elementary School",Mathematics,05,66.7,"*","*","*","*"
"Douglas County Re 1","Cherry Valley Elementary School",Mathematics,06,80.0,"*","*","*","*"
"Douglas County Re 1","North Star Academy","English Language Arts","All Grades",97.2,1.9,78.3,71.1,"   7.2"
"Douglas County Re 1","North Star Academy","English Language Arts",03,98.7,3.9,75.3,64.3,"  11.0"
"Douglas County Re 1","North Star Academy","English Language Arts",04,98.7,"*",76.3,77.6,"  -1.3"
"Douglas County Re 1","North Star Academy","English Language Arts",05,98.8,"*",68.8,74.0,"  -5.2"
"Douglas County Re 1","North Star Academy","English Language Arts",06,94.5,"*",88.4,68.1,"  20.3"
"Douglas County Re 1","North Star Academy","English Language Arts",07,100.0,"*",83.9,79.0,"   4.9"
"Douglas County Re 1","North Star Academy","English Language Arts",08,91.1,"*",80.4,61.5,"  18.9"
"Douglas County Re 1","North Star Academy",Mathematics,"All Grades",97.0,2.4,62.8,54.0,"   8.8"
"Douglas County Re 1","North Star Academy",Mathematics,03,98.7,"*",75.3,62.9,"  12.4"
"Douglas County Re 1","North Star Academy",Mathematics,04,98.7,"*",61.8,51.3,"  10.5"
"Douglas County Re 1","North Star Academy",Mathematics,05,97.5,"*",60.8,47.2,"  13.6"
"Douglas County Re 1","North Star Academy",Mathematics,06,94.5,4.3,58.0,43.5,"  14.5"
"Douglas County Re 1","North Star Academy",Mathematics,07,100.0,"*",56.5,64.5,"  -8.0"
"Douglas County Re 1","North Star Academy",Mathematics,08,91.1,7.8,62.7,56.9,"   5.8"
"Douglas County Re 1","Parker Core Knowledge Charter School","English Language Arts","All Grades",100.0,"*",89.8,91.9,"  -2.1"
"Douglas County Re 1","Parker Core Knowledge Charter School","English Language Arts",03,100.0,"*",84.6,83.8,"   0.8"
"Douglas County Re 1","Parker Core Knowledge Charter School","English Language Arts",04,100.0,"*",85.9,93.5,"  -7.6"
"Douglas County Re 1","Parker Core Knowledge Charter School","English Language Arts",05,100.0,"*",88.3,94.9,"  -6.6"
"Douglas County Re 1","Parker Core Knowledge Charter School","English Language Arts",06,100.0,"*",92.1,93.5,"  -1.4"
"Douglas County Re 1","Parker Core Knowledge Charter School","English Language Arts",07,100.0,"*",96.2,93.5,"   2.7"
"Douglas County Re 1","Parker Core Knowledge Charter School","English Language Arts",08,100.0,"*",92.1,91.9,"   0.2"
"Douglas County Re 1","Parker Core Knowledge Charter School",Mathematics,"All Grades",100.0,0.6,84.2,83.2,"   1.0"
"Douglas County Re 1","Parker Core Knowledge Charter School",Mathematics,03,100.0,"*",87.2,87.8,"  -0.6"
"Douglas County Re 1","Parker Core Knowledge Charter School",Mathematics,04,100.0,"*",83.3,85.9,"  -2.6"
"Douglas County Re 1","Parker Core Knowledge Charter School",Mathematics,05,100.0,"*",87.0,80.8,"   6.2"
"Douglas County Re 1","Parker Core Knowledge Charter School",Mathematics,06,100.0,"*",78.9,77.9,"   1.0"
"Douglas County Re 1","Parker Core Knowledge Charter School",Mathematics,07,100.0,"*",84.6,80.5,"   4.1"
"Douglas County Re 1","Parker Core Knowledge Charter School",Mathematics,08,100.0,"*",84.2,86.5,"  -2.3"
"Douglas County Re 1","Copper Mesa Elementary School","English Language Arts","All Grades",79.5,4.9,64.4,52.9,"  11.5"
"Douglas County Re 1","Copper Mesa Elementary School","English Language Arts",03,93.0,"*",67.5,40.7,"  26.8"
"Douglas County Re 1","Copper Mesa Elementary School","English Language Arts",04,89.1,"*",63.4,54.1,"   9.3"
"Douglas County Re 1","Copper Mesa Elementary School","English Language Arts",05,82.2,"*",64.9,53.9,"  11.0"
"Douglas County Re 1","Copper Mesa Elementary School","English Language Arts",06,63.4,6.7,62.2,60.3,"   1.9"
"Douglas County Re 1","Copper Mesa Elementary School",Mathematics,"All Grades",80.4,2.4,54.9,43.1,"  11.8"
"Douglas County Re 1","Copper Mesa Elementary School",Mathematics,03,93.0,"*",62.5,41.0,"  21.5"
"Douglas County Re 1","Copper Mesa Elementary School",Mathematics,04,89.1,"*",51.2,34.4,"  16.8"
"Douglas County Re 1","Copper Mesa Elementary School",Mathematics,05,86.7,"*",51.3,43.4,"   7.9"
"Douglas County Re 1","Copper Mesa Elementary School",Mathematics,06,62.9,"*",54.5,51.3,"   3.2"
"Douglas County Re 1","Cougar Run Elementary School","English Language Arts","All Grades",94.7,4.6,68.4,65.2,"   3.2"
"Douglas County Re 1","Cougar Run Elementary School","English Language Arts",03,98.1,"*",68.6,64.9,"   3.7"
"Douglas County Re 1","Cougar Run Elementary School","English Language Arts",04,100.0,"*",61.0,72.2," -11.2"
"Douglas County Re 1","Cougar Run Elementary School","English Language Arts",05,91.7,5.5,58.2,61.0,"  -2.8"
"Douglas County Re 1","Cougar Run Elementary School","English Language Arts",06,90.7,"*",85.7,60.4,"  25.3"
"Douglas County Re 1","Cougar Run Elementary School",Mathematics,"All Grades",95.7,9.6,52.5,54.9,"  -2.4"
"Douglas County Re 1","Cougar Run Elementary School",Mathematics,03,98.1,"*",62.7,63.5,"  -0.8"
"Douglas County Re 1","Cougar Run Elementary School",Mathematics,04,100.0,"*",39.0,58.3," -19.3"
"Douglas County Re 1","Cougar Run Elementary School",Mathematics,05,91.7,20.0,43.6,47.5,"  -3.9"
"Douglas County Re 1","Cougar Run Elementary School",Mathematics,06,94.4,7.8,62.7,45.8,"  16.9"
"Douglas County Re 1","Coyote Creek Elementary School","English Language Arts","All Grades",93.4,3.0,58.1,71.5," -13.4"
"Douglas County Re 1","Coyote Creek Elementary School","English Language Arts",03,97.8,6.7,53.3,54.0,"  -0.7"
"Douglas County Re 1","Coyote Creek Elementary School","English Language Arts",04,95.4,"*",56.5,85.5," -29.0"
"Douglas County Re 1","Coyote Creek Elementary School","English Language Arts",05,96.5,"*",58.2,66.7,"  -8.5"
"Douglas County Re 1","Coyote Creek Elementary School","English Language Arts",06,81.8,"*",66.7,80.4," -13.7"
"Douglas County Re 1","Coyote Creek Elementary School",Mathematics,"All Grades",93.9,5.5,53.8,63.7,"  -9.9"
"Douglas County Re 1","Coyote Creek Elementary School",Mathematics,03,100.0,"*",65.2,62.0,"   3.2"
"Douglas County Re 1","Coyote Creek Elementary School",Mathematics,04,95.4,6.5,45.2,71.4," -26.2"
"Douglas County Re 1","Coyote Creek Elementary School",Mathematics,05,98.2,7.1,50.0,63.5," -13.5"
"Douglas County Re 1","Coyote Creek Elementary School",Mathematics,06,79.5,"*",60.0,56.5,"   3.5"
"Douglas County Re 1","Cresthill Middle School","English Language Arts","All Grades",64.1,7.1,58.2,58.5,"  -0.3"
"Douglas County Re 1","Cresthill Middle School","English Language Arts",07,72.3,6.1,58.0,64.4,"  -6.4"
"Douglas County Re 1","Cresthill Middle School","English Language Arts",08,57.1,8.1,58.6,52.2,"   6.4"
"Douglas County Re 1","Cresthill Middle School",Mathematics,"All Grades",64.1,6.0,49.5,51.8,"  -2.3"
"Douglas County Re 1","Cresthill Middle School",Mathematics,07,72.6,3.7,48.4,45.0,"   3.4"
"Douglas County Re 1","Cresthill Middle School",Mathematics,08,56.8,8.6,50.7,58.9,"  -8.2"
"Douglas County Re 1","Castle Rock Middle School","English Language Arts","All Grades",78.2,11.0,50.9,41.2,"   9.7"
"Douglas County Re 1","Castle Rock Middle School","English Language Arts",07,87.7,10.8,48.6,40.1,"   8.5"
"Douglas County Re 1","Castle Rock Middle School","English Language Arts",08,69.2,11.3,53.6,42.4,"  11.2"
"Douglas County Re 1","Castle Rock Middle School",Mathematics,"All Grades",78.0,10.5,39.6,32.8,"   6.8"
"Douglas County Re 1","Castle Rock Middle School",Mathematics,07,86.4,8.1,38.7,31.2,"   7.5"
"Douglas County Re 1","Castle Rock Middle School",Mathematics,08,70.2,13.4,40.5,34.7,"   5.8"
"Douglas County Re 1","Rock Ridge Elementary School","English Language Arts","All Grades",93.4,12.3,33.3,34.6,"  -1.3"
"Douglas County Re 1","Rock Ridge Elementary School","English Language Arts",03,93.5,22.4,"*",34.3,"*"
"Douglas County Re 1","Rock Ridge Elementary School","English Language Arts",04,93.0,5.7,37.7,38.6,"  -0.9"
"Douglas County Re 1","Rock Ridge Elementary School","English Language Arts",05,98.2,7.3,"*",22.2,"*"
"Douglas County Re 1","Rock Ridge Elementary School","English Language Arts",06,89.9,12.9,45.2,43.3,"   1.9"
"Douglas County Re 1","Rock Ridge Elementary School",Mathematics,"All Grades",94.3,17.4,27.0,30.7,"  -3.7"
"Douglas County Re 1","Rock Ridge Elementary School",Mathematics,03,95.2,23.7,33.9,35.8,"  -1.9"
"Douglas County Re 1","Rock Ridge Elementary School",Mathematics,04,93.0,7.5,24.5,32.1,"  -7.6"
"Douglas County Re 1","Rock Ridge Elementary School",Mathematics,05,98.2,27.3,16.4,20.8,"  -4.4"
"Douglas County Re 1","Rock Ridge Elementary School",Mathematics,06,91.3,11.1,31.7,34.3,"  -2.6"
"Douglas County Re 1","Cherokee Trail Elementary School","English Language Arts","All Grades",87.4,7.2,54.5,55.3,"  -0.8"
"Douglas County Re 1","Cherokee Trail Elementary School","English Language Arts",03,93.9,"*",41.9,40.4,"   1.5"
"Douglas County Re 1","Cherokee Trail Elementary School","English Language Arts",04,93.0,4.5,56.1,55.9,"   0.2"
"Douglas County Re 1","Cherokee Trail Elementary School","English Language Arts",05,77.8,"*",61.2,63.4,"  -2.2"
"Douglas County Re 1","Cherokee Trail Elementary School","English Language Arts",06,84.1,"*",60.3,59.6,"   0.7"
"Douglas County Re 1","Cherokee Trail Elementary School",Mathematics,"All Grades",85.6,9.5,48.5,43.9,"   4.6"
"Douglas County Re 1","Cherokee Trail Elementary School",Mathematics,03,92.4,9.8,50.8,55.2,"  -4.4"
"Douglas County Re 1","Cherokee Trail Elementary School",Mathematics,04,91.7,4.5,45.5,42.0,"   3.5"
"Douglas County Re 1","Cherokee Trail Elementary School",Mathematics,05,76.2,18.8,50.0,38.0,"  12.0"
"Douglas County Re 1","Cherokee Trail Elementary School",Mathematics,06,81.2,7.1,48.2,42.1,"   6.1"
"Douglas County Re 1","Eagle Ridge Elementary School","English Language Arts","All Grades",86.5,4.7,67.3,64.7,"   2.6"
"Douglas County Re 1","Eagle Ridge Elementary School","English Language Arts",03,87.9,10.0,68.8,70.4,"  -1.6"
"Douglas County Re 1","Eagle Ridge Elementary School","English Language Arts",04,91.8,"*",55.2,76.8," -21.6"
"Douglas County Re 1","Eagle Ridge Elementary School","English Language Arts",05,76.3,"*",57.4,49.4,"   8.0"
"Douglas County Re 1","Eagle Ridge Elementary School","English Language Arts",06,90.5,"*",86.6,61.8,"  24.8"
"Douglas County Re 1","Eagle Ridge Elementary School",Mathematics,"All Grades",86.8,5.1,52.3,49.5,"   2.8"
"Douglas County Re 1","Eagle Ridge Elementary School",Mathematics,03,90.1,8.5,61.0,63.4,"  -2.4"
"Douglas County Re 1","Eagle Ridge Elementary School",Mathematics,04,90.5,"*",44.8,56.1," -11.3"
"Douglas County Re 1","Eagle Ridge Elementary School",Mathematics,05,76.3,"*",47.5,38.0,"   9.5"
"Douglas County Re 1","Eagle Ridge Elementary School",Mathematics,06,90.5,6.0,53.7,40.6,"  13.1"
"Douglas County Re 1","Eldorado Elementary School","English Language Arts","All Grades",87.8,6.0,67.6,71.8,"  -4.2"
"Douglas County Re 1","Eldorado Elementary School","English Language Arts",03,90.2,10.9,58.2,61.8,"  -3.6"
"Douglas County Re 1","Eldorado Elementary School","English Language Arts",04,88.5,5.6,68.5,81.7," -13.2"
"Douglas County Re 1","Eldorado Elementary School","English Language Arts",05,92.3,"*",66.7,65.2,"   1.5"
"Douglas County Re 1","Eldorado Elementary School","English Language Arts",06,79.7,"*",78.7,76.4,"   2.3"
"Douglas County Re 1","Eldorado Elementary School",Mathematics,"All Grades",88.2,5.1,59.0,56.2,"   2.8"
"Douglas County Re 1","Eldorado Elementary School",Mathematics,03,91.8,"*",64.3,69.1,"  -4.8"
"Douglas County Re 1","Eldorado Elementary School",Mathematics,04,88.5,"*",55.6,55.0,"   0.6"
"Douglas County Re 1","Eldorado Elementary School",Mathematics,05,92.3,8.3,58.3,51.1,"   7.2"
"Douglas County Re 1","Eldorado Elementary School",Mathematics,06,79.7,"*",57.4,49.1,"   8.3"
"Douglas County Re 1","Mammoth Heights Elementary","English Language Arts","All Grades",89.7,6.4,54.6,49.5,"   5.1"
"Douglas County Re 1","Mammoth Heights Elementary","English Language Arts",03,96.4,8.8,56.3,28.4,"  27.9"
"Douglas County Re 1","Mammoth Heights Elementary","English Language Arts",04,86.7,4.6,60.0,51.1,"   8.9"
"Douglas County Re 1","Mammoth Heights Elementary","English Language Arts",05,94.7,5.6,44.9,54.5,"  -9.6"
"Douglas County Re 1","Mammoth Heights Elementary","English Language Arts",06,81.4,6.3,59.5,64.6,"  -5.1"
"Douglas County Re 1","Mammoth Heights Elementary",Mathematics,"All Grades",88.9,15.1,40.5,35.7,"   4.8"
"Douglas County Re 1","Mammoth Heights Elementary",Mathematics,03,96.4,6.3,57.5,33.3,"  24.2"
"Douglas County Re 1","Mammoth Heights Elementary",Mathematics,04,84.2,6.3,42.2,36.6,"   5.6"
"Douglas County Re 1","Mammoth Heights Elementary",Mathematics,05,94.7,21.3,34.8,39.4,"  -4.6"
"Douglas County Re 1","Mammoth Heights Elementary",Mathematics,06,80.4,24.4,28.2,34.1,"  -5.9"
"Douglas County Re 1","Stone Mountain Elementary","English Language Arts","All Grades",92.6,1.0,79.3,75.7,"   3.6"
"Douglas County Re 1","Stone Mountain Elementary","English Language Arts",03,93.8,"*",64.0,70.1,"  -6.1"
"Douglas County Re 1","Stone Mountain Elementary","English Language Arts",04,93.1,"*",81.5,73.5,"   8.0"
"Douglas County Re 1","Stone Mountain Elementary","English Language Arts",05,93.2,"*",82.9,75.5,"   7.4"
"Douglas County Re 1","Stone Mountain Elementary","English Language Arts",06,90.5,"*",88.2,83.5,"   4.7"
"Douglas County Re 1","Stone Mountain Elementary",Mathematics,"All Grades",93.2,"*",79.4,69.3,"  10.1"
"Douglas County Re 1","Stone Mountain Elementary",Mathematics,03,93.8,"*",78.7,78.2,"   0.5"
"Douglas County Re 1","Stone Mountain Elementary",Mathematics,04,94.3,"*",78.0,77.1,"   0.9"
"Douglas County Re 1","Stone Mountain Elementary",Mathematics,05,94.3,"*",85.5,68.4,"  17.1"
"Douglas County Re 1","Stone Mountain Elementary",Mathematics,06,90.5,"*",75.0,53.2,"  21.8"
"Douglas County Re 1","Roxborough Intermediate","English Language Arts","All Grades",93.7,5.5,56.4,47.6,"   8.8"
"Douglas County Re 1","Roxborough Intermediate","English Language Arts",03,93.7,6.7,65.2,37.9,"  27.3"
"Douglas County Re 1","Roxborough Intermediate","English Language Arts",04,94.7,9.3,58.3,57.4,"   0.9"
"Douglas County Re 1","Roxborough Intermediate","English Language Arts",05,92.5,"*",52.5,51.0,"   1.5"
"Douglas County Re 1","Roxborough Intermediate","English Language Arts",06,93.7,"*",49.4,43.4,"   6.0"
"Douglas County Re 1","Roxborough Intermediate",Mathematics,"All Grades",94.2,6.7,45.5,40.3,"   5.2"
"Douglas County Re 1","Roxborough Intermediate",Mathematics,03,94.7,3.3,63.3,41.5,"  21.8"
"Douglas County Re 1","Roxborough Intermediate",Mathematics,04,95.6,4.6,47.7,46.3,"   1.4"
"Douglas County Re 1","Roxborough Intermediate",Mathematics,05,92.5,8.1,37.4,35.0,"   2.4"
"Douglas County Re 1","Roxborough Intermediate",Mathematics,06,93.7,11.2,33.7,38.4,"  -4.7"
"Douglas County Re 1","Flagstone Elementary School","English Language Arts","All Grades",92.1,8.1,60.7,48.2,"  12.5"
"Douglas County Re 1","Flagstone Elementary School","English Language Arts",03,98.3,20.3,44.1,44.8,"  -0.7"
"Douglas County Re 1","Flagstone Elementary School","English Language Arts",04,90.2,"*",67.4,43.5,"  23.9"
"Douglas County Re 1","Flagstone Elementary School","English Language Arts",05,90.3,"*",62.5,54.0,"   8.5"
"Douglas County Re 1","Flagstone Elementary School","English Language Arts",06,89.3,"*",72.0,50.7,"  21.3"
"Douglas County Re 1","Flagstone Elementary School",Mathematics,"All Grades",90.8,7.2,59.6,41.5,"  18.1"
"Douglas County Re 1","Flagstone Elementary School",Mathematics,03,98.3,8.5,59.3,51.7,"   7.6"
"Douglas County Re 1","Flagstone Elementary School",Mathematics,04,88.2,"*",62.2,29.0,"  33.2"
"Douglas County Re 1","Flagstone Elementary School",Mathematics,05,90.3,8.9,60.7,48.4,"  12.3"
"Douglas County Re 1","Flagstone Elementary School",Mathematics,06,85.7,"*",56.3,38.8,"  17.5"
"Douglas County Re 1","Fox Creek Elementary School","English Language Arts","All Grades",91.7,3.7,64.8,58.8,"   6.0"
"Douglas County Re 1","Fox Creek Elementary School","English Language Arts",03,95.1,6.9,62.1,55.2,"   6.9"
"Douglas County Re 1","Fox Creek Elementary School","English Language Arts",04,97.0,"*",66.2,66.1,"   0.1"
"Douglas County Re 1","Fox Creek Elementary School","English Language Arts",05,91.5,"*",61.5,65.7,"  -4.2"
"Douglas County Re 1","Fox Creek Elementary School","English Language Arts",06,83.6,"*",69.6,48.5,"  21.1"
"Douglas County Re 1","Fox Creek Elementary School",Mathematics,"All Grades",91.4,5.3,49.8,52.8,"  -3.0"
"Douglas County Re 1","Fox Creek Elementary School",Mathematics,03,96.7,8.5,64.4,63.8,"   0.6"
"Douglas County Re 1","Fox Creek Elementary School",Mathematics,04,97.0,"*",32.3,35.6,"  -3.3"
"Douglas County Re 1","Fox Creek Elementary School",Mathematics,05,88.7,4.8,52.4,60.6,"  -8.2"
"Douglas County Re 1","Fox Creek Elementary School",Mathematics,06,83.6,"*",51.8,48.5,"   3.3"
"Douglas County Re 1","Franktown Elementary School","English Language Arts","All Grades",96.2,4.5,46.0,53.8,"  -7.8"
"Douglas County Re 1","Franktown Elementary School","English Language Arts",03,98.2,"*",29.6,65.3," -35.7"
"Douglas County Re 1","Franktown Elementary School","English Language Arts",04,95.7,6.0,55.2,47.3,"   7.9"
"Douglas County Re 1","Franktown Elementary School","English Language Arts",05,94.8,"*",50.9,50.0,"   0.9"
"Douglas County Re 1","Franktown Elementary School",Mathematics,"All Grades",96.2,2.3,50.0,56.9,"  -6.9"
"Douglas County Re 1","Franktown Elementary School",Mathematics,03,98.2,"*",44.4,73.5," -29.1"
"Douglas County Re 1","Franktown Elementary School",Mathematics,04,95.7,"*",47.8,40.0,"   7.8"
"Douglas County Re 1","Franktown Elementary School",Mathematics,05,94.8,"*",58.2,58.9,"  -0.7"
"Douglas County Re 1","Frontier Valley Elementary School","English Language Arts","All Grades",89.2,5.9,59.0,47.3,"  11.7"
"Douglas County Re 1","Frontier Valley Elementary School","English Language Arts",03,90.0,11.1,59.3,46.6,"  12.7"
"Douglas County Re 1","Frontier Valley Elementary School","English Language Arts",04,89.0,"*",52.1,43.0,"   9.1"
"Douglas County Re 1","Frontier Valley Elementary School","English Language Arts",05,88.3,"*",66.2,52.1,"  14.1"
"Douglas County Re 1","Frontier Valley Elementary School",Mathematics,"All Grades",89.2,3.2,57.7,37.2,"  20.5"
"Douglas County Re 1","Frontier Valley Elementary School",Mathematics,03,91.1,"*",57.3,40.5,"  16.8"
